,App Version Code,App Version Name,customer comment date,Star Rating,Customer_review
12,2.0,1.2.3,2019-12-05T15:13:09Z,2,"Hasta el momento no funciona se congela después de solicitar codigo temporal, ingreso la clave ingresa y todo pero cuando voy a ingresar clave temporal me pide ingresar pin de 6 dígitos y en ese momento nada que hacer toca forzar cierre. Porfavor agradezco su gestión si es una falla general hoy dia."
13,2.0,1.2.3,2019-12-07T13:27:04Z,4,"Ya no me deja ver lo de el subsidio hace dls dias , que pasaria"
14,2.0,1.2.3,2019-12-07T17:10:48Z,1,"Después de un tiempo ahora me sale que no tengo productos y hace 5 días ingrese y me mostraba el saldo de mi cuenta, no entiendo que pasa, pero me siento demasiada molesta. Me gustaría que me dieran una respuesta a esto."
15,2.0,1.2.3,2019-12-11T01:39:00Z,3,Tiene muy buenas opciones sin embargo no se cómo acceder al pin transaccional
16,2.0,1.2.3,2019-12-26T19:16:39Z,5,Muy buena exelente
17,2.0,1.2.3,2019-12-28T19:53:20Z,5,H b ML
18,2.0,1.2.3,2020-01-11T00:26:06Z,5,Super
19,2.0,1.2.3,2020-01-11T01:26:28Z,2,"No me permite activar la aplicacion, no me llega el codigo y me ha toca desistalar e intalar y ni asi la he podido activar"
20,2.0,1.2.3,2020-01-13T12:12:26Z,3,ME FUNCIONABA PERFECTO HASTA HACE 4 DIAS INTENTO MIRAR EL SALDO Y ME DICE QUE NO HAY PRODUCTOS PARA MOSTRAR
22,2.0,1.2.3,2020-01-17T13:43:38Z,5,Excelente app! Me encanta ya que es muy dinámica y fácil de utilizar.
23,2.0,1.2.3,2020-01-17T21:47:45Z,5,"Muy buena app, te tiene informado acerca de tu subsidio familiar y educativo, ademas de todo lo que tenga en la tarjeta compensar,sin necesidad de estar llamando....me gusto...ahh y puedes recarcar tu celular 😁"
24,2.0,1.2.3,2020-01-18T01:22:49Z,1,Es muy buena aplicación pero hoy no me aparece nada dice que no tengo productos para mostrar. Me pueden decir porque
25,2.0,1.2.3,2020-01-18T03:03:13Z,2,No me deja ver los productos. 😪
26,2.0,1.2.3,2020-01-18T12:32:43Z,5,Super
27,2.0,1.2.3,2020-01-18T14:54:11Z,1,"Solo pude ver mis productos una vez, después dice que no tengo ningún producto"
28,2.0,1.2.3,2020-01-18T16:38:11Z,1,"Pésima aplicación, se bloquea y no me muestra mis productos"
29,2.0,1.2.3,2020-01-19T01:00:23Z,2,No me acuerdo el pin y lo quiero cambiar por que quiero registrar la tarjeta.
30,2.0,1.2.3,2020-01-19T15:45:17Z,1,"Aparece que no tengo productos, pero tengo mi tarjeta de subsidio familiar."
31,2.0,1.2.3,2020-01-19T23:31:55Z,3,Ingrese y al principio si me permitía ver saldos y demasahora ingreso y aparece que no tengo asociados productos
33,2.0,1.2.3,2020-01-20T02:58:46Z,2,Muy mala
34,2.0,1.2.3,2020-01-20T03:10:30Z,1,Buen día... No se q pasa pero hace unos días me funcionaba normal y ahora ingreso y me aparece q no tengo productos y me es necesario estar pendiente necesito q me colaboren gracias
35,4.0,1.3.2,2020-01-24T12:52:54Z,4,"Esta muy bueno el tema de poder consultar el saldo por aca. Solo me queda una duda, las transferencias se pueden realizar a una tarjeta debito bancaria o como funciona el tema? Gracias"
36,2.0,1.2.3,2020-01-24T13:52:35Z,5,Excelente
37,4.0,1.3.2,2020-01-24T18:28:05Z,5,Excelente aplicación
39,4.0,1.3.2,2020-01-25T23:20:38Z,5,Súper
40,4.0,1.3.2,2020-01-28T14:44:24Z,5,Facil de usar
41,4.0,1.3.2,2020-01-29T20:48:48Z,5,Buena
46,2.0,1.2.3,2020-02-08T16:59:48Z,5,Excelente
47,4.0,1.3.2,2020-02-12T21:25:13Z,2,Me gustaría saber si puedo tener información de mi crédito hipotecario de vivienda con la billetera móvil. Gracias
48,4.0,1.3.2,2020-02-19T03:37:26Z,4,"Para ingresar puede contraseña como si fuera una página web, la autenticación por huella dactilar la recomiendo"
49,4.0,1.3.2,2020-02-19T14:08:20Z,3,No me aparece como ver mi subsidio familiar
50,4.0,1.3.2,2020-02-19T16:23:17Z,2,no siempre m deja consultar lo q deceo
51,4.0,1.3.2,2020-02-20T07:43:46Z,1,"Me parece inútil esta app, solo sirve para ver el saldo y ya"
52,4.0,1.3.2,2020-02-20T15:29:32Z,1,Es una mala app nunca tiene conexión además cuando se logra conectar no muestra los productos que el usuario tiene
53,4.0,1.3.2,2020-02-21T17:35:53Z,5,"La app cumple con su objetivo, mantener informado el usuario de sus movimientos financieros, sería genial que se pueda hacer transferencias a otras entidades a futuro."
54,4.0,1.3.2,2020-02-21T23:29:13Z,1,"Ingreso con mi usuario y clave del portal transaccional y me dice que no tengo productos, no deja incribir la tarjeta ni nada, por favor como hago para mirar el saldo de mi tarjeta"
55,4.0,1.3.2,2020-02-21T23:34:16Z,1,No me sirve esta app que pérdida de tiempo
56,4.0,1.3.2,2020-02-21T23:54:34Z,3,"No deja ingresar la clave, parece que es muy larga para la aplicación"
60,4.0,1.3.2,2020-02-23T15:41:12Z,5,"Excelente app, te permite saber tu saldo en tiempo real, además recargar el celular de otra persona sin salir de casa. Genial!!!"
61,4.0,1.3.2,2020-02-24T20:31:21Z,5,Muy buena esta app .Saludos
62,4.0,1.3.2,2020-02-24T22:41:16Z,1,"Ya no me aparece la información de bonos, ni subsidio monetario dentro de la app"
63,4.0,1.3.2,2020-02-24T23:10:06Z,5,"Muchas gracias, la app funciona perfectamente Es excelente poder consultar el saldo desde el cel"
64,4.0,1.3.2,2020-02-25T04:19:50Z,1,No deja bajar la aplicacion
65,4.0,1.3.2,2020-02-25T20:57:09Z,1,No estoy registrado en la base de datos...
66,4.0,1.3.2,2020-02-27T19:50:28Z,1,"En qué establecimientos en Bogotá puedo hacer retiros con el token? Pésima app no se pueden hacer retiros en ningún lado el cajero no pasa de la opción de billetera móvil, en Baloto no hacen el retiro sin el número de convenio que en la línea no lo conocen y conexred un único punto en la cll 100. 😡"
67,4.0,1.3.2,2020-02-28T19:38:59Z,4,Excelente
68,4.0,1.3.2,2020-02-29T00:03:50Z,4,Excelente.
69,4.0,1.3.2,2020-02-29T03:47:11Z,1,Muy mala
70,4.0,1.3.2,2020-02-29T14:39:34Z,4,"Es muy buena la aplicación pero para recargar el celular, debería tener todos los operadores y no es así"
72,4.0,1.3.2,2020-03-01T02:40:11Z,5,Muy útil sin dudarlo para consultar saldo
73,4.0,1.3.2,2020-03-01T15:18:58Z,5,Exelente
76,4.0,1.3.2,2020-03-03T17:02:39Z,5,Ok
77,4.0,1.3.2,2020-03-04T02:47:59Z,1,"Que aplicación tan mala, al momento de registrar se queda en enviar y no sale de esa pantalla"
78,4.0,1.3.2,2020-03-04T14:05:40Z,5,Excelente esta aplicacion
79,4.0,1.3.2,2020-03-04T15:07:11Z,1,"En el input de contraseña no me deja poner mi pwd de 15 carácteres. Pésimo servicio 👎 (Edit) cuando se edita algún campo y aparece el teclado, el background se mueve le falta algún scroll: hidden o display: fixed *🤨 qué se yo, no soy front*"
80,4.0,1.3.2,2020-03-04T15:51:08Z,1,"Fatal!! La descargue y se queda congelada, no me deja ingresar que pasá? Mal, mal, mal."
81,4.0,1.3.2,2020-03-05T15:36:36Z,4,Me ahorra tiempo es muy facil
82,4.0,1.3.2,2020-03-05T23:22:31Z,1,N.A.
86,4.0,1.3.2,2020-03-07T23:01:17Z,1,Dice en la principal que puedes acceder con pasaporte pero cuando te vas a registrar no te permite la opción
88,4.0,1.3.2,2020-03-08T16:37:53Z,3,"Intenté retirar en un cajero serví banca con la generación del token y no había la opción, mi pregunta es dónde puedo retirar con el número de token. Gracias."
89,4.0,1.3.2,2020-03-08T22:05:57Z,1,No entiendo por que no me dejo registrar disque me enviaban un correo con la contraseña y no lo enviaron 😖😠😠😠
90,4.0,1.3.2,2020-03-10T00:17:45Z,5,Exelente sin necesidad de llamar
91,4.0,1.3.2,2020-03-10T01:24:01Z,5,👍
93,4.0,1.3.2,2020-03-10T14:49:41Z,5,"Es muy util, me gusto bastante"
95,4.0,1.3.2,2020-03-10T16:23:25Z,5,Muy buena y práctica
96,4.0,1.3.2,2020-03-10T20:40:23Z,5,Muy útil... Esta muy buena
97,4.0,1.3.2,2020-03-10T22:02:49Z,5,Hasta el momento se ve bien
98,4.0,1.3.2,2020-03-10T22:04:26Z,5,"Excelente!!! muy sencillo el registro, información específica,los felicito muy buena app para mí concepto."
99,4.0,1.3.2,2020-03-10T23:56:57Z,5,Excelente
100,4.0,1.3.2,2020-03-11T00:59:29Z,1,No me deja abrir la aplicacio dice que datos incorrectos
101,4.0,1.3.2,2020-03-11T05:19:22Z,1,"Luego de un largo proceso para que diga a ocurrido un error intente más tarde, y nunca deja entrar"
104,4.0,1.3.2,2020-03-12T03:00:40Z,1,Pide una contraseña cual???la que utilizas para pedir saldo???la coloco dice q no es y si le doy para registrarme dice q ya existo😤pesima app
105,4.0,1.3.2,2020-03-12T10:27:15Z,5,"Super!! me parece todo lo que se necesita para y por lo que está creada,,solo falta que más establecimientos de mercado la reciban y listo."
106,4.0,1.3.2,2020-03-12T10:57:32Z,5,Excelente aplicación
108,4.0,1.3.2,2020-03-12T17:33:26Z,3,Hace falta poder pagar por PSE
109,4.0,1.3.2,2020-03-12T18:08:22Z,1,"Pesimo, no envian el correo para la asignación de la contraseña, ademas de eso dan unos numeros de teléfono para contactar en caso de presentar fallas y no sirven."
113,4.0,1.3.2,2020-03-13T20:51:41Z,1,Inicio sesión y no ingresa
115,4.0,1.3.2,2020-03-13T21:31:07Z,2,No me funciona
117,4.0,1.3.2,2020-03-14T03:43:45Z,2,Muy buena
118,4.0,1.3.2,2020-03-14T05:57:46Z,1,No envian el correo ni clave ni nda
119,4.0,1.3.2,2020-03-14T15:09:45Z,5,Excelente herramienta
123,4.0,1.3.2,2020-03-15T12:05:17Z,5,Exelente gracias
125,4.0,1.3.2,2020-03-16T01:01:44Z,5,Excelente app
127,4.0,1.3.2,2020-03-16T15:12:49Z,1,"Como a muchos usuarios, me quedé esperando la clave de acceso y no llegó nada"
128,4.0,1.3.2,2020-03-16T19:40:43Z,1,A no me deja abrir nada no sirve para nada
129,4.0,1.3.2,2020-03-16T20:26:05Z,1,No he podido ingresar a la aplicación me dice que password inválido y no he podido restablecer la contraseña
131,4.0,1.3.2,2020-03-17T21:30:33Z,4,"Excelente. Falta poder inscribir cuentas de transferir por este medio y para mí, conocer las fechas de pagos por vencerse de mis créditos."
132,4.0,1.3.2,2020-03-18T01:04:42Z,1,No envía el número de confirmación y después dice que hay que esperar 4 horas qué mal servicio no se pueden ingresar
133,4.0,1.3.2,2020-03-18T22:10:21Z,5,Es muy bueno y util
134,4.0,1.3.2,2020-03-19T14:08:06Z,5,Exelente alternativa
136,4.0,1.3.2,2020-03-20T17:39:25Z,2,No es claro en que establecimeintos realizar retiros con el teken..
137,4.0,1.3.2,2020-03-20T23:44:27Z,1,No me deja hacer recargas
139,4.0,1.3.2,2020-03-21T03:13:33Z,5,"Soy extranjero y por la empresa estoy afiliado a compensar con pasaporte, pero no me deja ingresar, si me pueden ayudar por favor, que debo hacer en ese caso?"
141,4.0,1.3.2,2020-03-21T11:26:04Z,1,Mala mala mala
144,4.0,1.3.2,2020-03-21T21:46:58Z,3,Para activar mi tarjeta me pidieron una clave de 4 dígitos y que con esa entrada al App. En la App me dicen que la contraseña debe ser de 6 dígitos... estoy confundida? Son diferentes?
146,4.0,1.3.2,2020-03-22T16:31:45Z,1,"No funciona en ningún aspecto. Me registro y luego no me deja entrar, pongo ""restablecer contraseña"" y me dice correo inválido. Mi contraseña no es mi contraseña y mi correo no es mi correo. Solo falta que me diga que no soy yo."
148,4.0,1.3.2,2020-03-22T21:09:50Z,5,Me muestra todo lo que estoy buscando
150,4.0,1.3.2,2020-03-23T17:56:11Z,1,No permite crear un nuevo usuario
152,4.0,1.3.2,2020-03-24T05:46:23Z,5,Super super lo mejor. Adicionalmente en transacciones que cuentas puedo crear es decir de ahorros? No entiendo esa parte agradezco su respuesta.
153,4.0,1.3.2,2020-03-24T12:29:39Z,5,Exelente y muy útil
156,4.0,1.3.2,2020-03-24T15:39:14Z,1,"Pésima aplicación,cuándo terminé de registrarme,me salió un aviso ⚠ diciendo qué mi registro no esta en su base de datos,me dan unos números de líneas,dónde uno llama y núnca contestan,la voy a desinstalar."
162,4.0,1.3.2,2020-03-26T14:00:24Z,5,Excelente no sabia de esto como podría retirar si. Nesecidad de la targeta? Se puede.
163,4.0,1.3.2,2020-03-26T18:42:48Z,5,Buena app
164,4.0,1.3.2,2020-03-27T01:02:07Z,3,ingreso pero no me permite ver mis productos y arroja error después de un rato
166,4.0,1.3.2,2020-03-27T01:46:54Z,5,Que buena app
167,5.0,1.3.3,2020-03-27T21:55:18Z,1,No me deja ingresar a la aplicación me sale error me dice que numero cedula no aparece en base de datos
168,5.0,1.3.3,2020-03-28T00:49:04Z,2,"No me deja ingresar, dice que la contraseña es incorrecta y que mía datos no son correctos, hice el cambio de contraseña por la página y volví a intentar y tampoco me dejo acceder"
169,4.0,1.3.2,2020-03-28T01:12:21Z,5,Fácil de usar muy útil
171,5.0,1.3.3,2020-03-28T16:08:18Z,1,"Siempre que trato de ingresar se dan los datos y queda hay,"
173,4.0,1.3.2,2020-03-28T19:08:13Z,5,Excelente app
174,5.0,1.3.3,2020-03-28T19:11:11Z,1,No deja ingresar siempre dice que intente mas tarde no hay donde quejarse ni da mas opciones
175,5.0,1.3.3,2020-03-28T21:01:33Z,1,Pesima
179,5.0,1.3.3,2020-03-29T01:47:24Z,3,"Hola, he tratado de utilizarla y me dice que la contraseña no coincide, voy a la página web de compensar y si me deja entrar. Por favor, revisen la app porque antes me funcionaba de mil maravillas. Gracias."
182,5.0,1.3.3,2020-03-29T09:29:27Z,1,"Con esta última actualización no deja ingresar y teniendo bien mis datos y contraseña y sale que no estoy registrado en la base de datos, cada vez peor esta aplicación"
183,5.0,1.3.3,2020-03-29T12:57:11Z,1,Desde la última actualización ahora no me deja entrar. Sale un mensaje que no se encuentra en la base de datos.
184,5.0,1.3.3,2020-03-29T14:41:15Z,1,Voy a ingresar y me indica que no estoy registrado y me voy a registrar y me dice que ya estoy registrado 👎
185,5.0,1.3.3,2020-03-29T15:48:38Z,1,He tratado de ingresas muchas vece s y no me es posible... me aparece que no me encuentro en la base de todos... aún después de creer mi perfil en transacción en línea....
187,5.0,1.3.3,2020-03-29T16:03:35Z,1,"Con la nueva actualización no me deja ingresar para ver saldo, que mala"
189,5.0,1.3.3,2020-03-29T17:55:09Z,1,"Señores compensar he cambiado la contraseña más de 5 veces y siempre sale un error el cual me bloquean el acceso a la aplicación por 4 horas, por favor su ayuda con el tema, hasta el momento no tengo acceso"
193,5.0,1.3.3,2020-03-29T22:56:26Z,1,No me esta funcionando la aplicación dice que los datos no existen en la base de datos..ppr favor me ayudan a validar ya que esta aplicación si me estaba funcionando
194,5.0,1.3.3,2020-03-29T23:22:05Z,1,"Pésima, no funciona, me ha hecho cambiar mi veces la contraseña y siempre me sale el mismo error, no sirve pésima"
195,5.0,1.3.3,2020-03-30T00:30:51Z,1,Nunca abre. Siempre dice que usuario o contraseña invalida. Y está bien escrita. Es un asco está app
196,5.0,1.3.3,2020-03-30T01:20:28Z,1,"En la anterior versión sí me dejaba ingresar y consultar mi saldo sin ningún problema. Con esta actualización se pifiaron, ya que me sale siempre que el usuario no está registrado cuando la realidad es que ingreso al sitio Web de Compensar y ahí sí me deja ingresar y hacer todo lo que necesito sin contratiempos. Arreglen eso, por favor."
197,5.0,1.3.3,2020-03-30T06:35:25Z,2,Tengo desde el sábado tratando de ingresar a la app y me sale que no estoy registrado eh cambiado mi clave 3 veces y sale lo mismo
198,5.0,1.3.3,2020-03-30T11:37:48Z,1,"Pésima aplicación, el ingreso es imposible; así cambie de clave 20 mil veces nunca puedo ingresar... siempre la clave es «incorrecta» 😒😕😕"
199,5.0,1.3.3,2020-03-30T12:25:28Z,1,Mala me dejo ingresar una vez y desde entonces cuando voy a ingresar me dice que que mi tipo de documento y mi numero de cedula no se encuentra en la base de datos
200,5.0,1.3.3,2020-03-30T15:46:01Z,1,Malo muy malo estoy registrado en trabsacciones en linea y me pide mi numero de documento y el tipo de documento y dice que no me encuentro en la base de datos por la pagina ingreso a transacciones en linea pero por la aplicacio no
201,5.0,1.3.3,2020-03-30T18:11:00Z,1,Muy mala me registre y al final me sale aviso que no aparezco en su base de datos
202,5.0,1.3.3,2020-03-30T20:22:39Z,1,Pésimo aplicativo me sale que no estoy registrado en ka base de datos y por web esta todo bien
203,5.0,1.3.3,2020-03-30T21:36:58Z,1,No me deja ingresar dice que no existe mi numero de identificación y en la pagina si puedo ingresar
205,5.0,1.3.3,2020-03-30T22:20:25Z,1,"Muy mala aplicación, no me déjà ingresar, tengo q estar cambiando la clave a cada rato."
206,5.0,1.3.3,2020-03-30T22:55:51Z,1,Ingreso mis datos correctamente con los que normalmente ingresó a transacciones en línea y me dice que están erróneos y entró por el navegador normal y ahí si me deja ingresar; la aplicación es la que está mal. Por favor arreglar
207,5.0,1.3.3,2020-03-30T23:22:36Z,1,Pésima no me deja ingresar y todos mis datos y contraseña están correctos pero dice q no estoy registrado
208,5.0,1.3.3,2020-03-31T00:52:22Z,1,Mamá me sale que no está en la base de datos y le doy registrarme y sale queha estoy registrada no sirve
209,5.0,1.3.3,2020-03-31T01:27:46Z,1,"No deja ingresar a la aplicación... Dice que el usuario no está creado y cuando le doy registrar, dice que ya existe 🤷‍♀️"
210,5.0,1.3.3,2020-03-31T01:28:50Z,1,La descargue y me dice que la contraseña no es y en la transacción en línea si me deja entrar normal
211,5.0,1.3.3,2020-03-31T01:51:20Z,1,Pesima aplicacion no te deja ingresar siempre dice que los datos son incorrectos o que no esta en la base de datos
213,5.0,1.3.3,2020-03-31T02:46:31Z,1,"No sirve no deja ingresar,dice que no estoy en la base de datos"
216,5.0,1.3.3,2020-03-31T12:05:06Z,1,Al ingresar sale un mensaje que el usuario y contraseña no coinciden
220,5.0,1.3.3,2020-03-31T15:55:20Z,1,No me deja ingresar a pesar de que en el navegador puedo ingresar bien.
221,5.0,1.3.3,2020-03-31T15:55:42Z,1,no deja entrar . malísimo servicio
222,5.0,1.3.3,2020-03-31T16:04:54Z,1,Última actualización ya no sirve. Siempre da contraseña invalida no se puede ingresar.
224,5.0,1.3.3,2020-03-31T16:18:36Z,1,"No se para que implementan una aplicación que no funciona, si finalmente toca acceder en por internet. No la recomiendo, No sirve para nada."
225,5.0,1.3.3,2020-03-31T17:49:27Z,1,Tengo la clave y todo y de una manera u otra no me deja entrar
226,5.0,1.3.3,2020-03-31T17:53:25Z,1,En la pagina puedo acceder correctamente pero en la app no permite hacerlo
228,5.0,1.3.3,2020-03-31T20:05:11Z,1,"Buenas tardes, señores compensar, estoy de acuerdo con las otras reseñas, solicite la tarjeta, me registré hice todo lo que indican y ahora dice que clave incorrecta y la cambie cómo cinco veces y me sigue diciendo lo mismo ""clave incorrecta"" y sale un aviso arriba con error tal y un número ahi. Entonces que puedo hacer o cómo hago para revisar el salgo y eso? Tampoco contestan en el chat o en los números ahí como hago?"
229,5.0,1.3.3,2020-03-31T20:14:23Z,1,Mala no deja ingresar
230,5.0,1.3.3,2020-03-31T20:17:08Z,1,Mala
231,5.0,1.3.3,2020-03-31T20:18:47Z,1,"No sirve está aplicación, ni me deja ingresar dice que no existe el usuario, y me meto en registro y dice que ya estoy registrada. Le puse una estrella porque hay q poner algo pero malísima la app"
233,5.0,1.3.3,2020-03-31T21:12:42Z,1,No sirve para mier.........
234,5.0,1.3.3,2020-03-31T21:16:58Z,1,Es lo peor antes era muy bueno compensar ahora desde que tienen mas cobertura se volvieron definitivamente una decepción
237,5.0,1.3.3,2020-03-31T23:41:58Z,1,Mal no me deja ingresar y ya tengo usuario
238,5.0,1.3.3,2020-04-01T00:38:07Z,1,No funciona
239,5.0,1.3.3,2020-04-01T01:16:38Z,1,Descargué la app pero no me deja ingresar dice que mi usuario no es pero en la plataforma si ingresa bien.
240,5.0,1.3.3,2020-04-01T02:01:24Z,1,Buenas noches..... en estos precisos momentos voy a ingresar a la app y me dice que mi contraseña no es.....lo cual hago el proceso de olvido contraseña registro otra y sigue DICIÉNDOME CLAVE ERROR agradezco me colaboren y me den solución GRACIAS
241,5.0,1.3.3,2020-04-01T02:56:37Z,1,Hola esta aplicación no sirve siempre que ingreso mis datos aparece que identificación no registrada y clave errónea arreglen eso la verdad esta app es inútil no funciona.
242,5.0,1.3.3,2020-04-01T04:18:02Z,1,No me deja ingresar.
244,5.0,1.3.3,2020-04-01T12:35:54Z,1,"Señores Compensar, revisen bien el acceso de su aplicación, dice que el usuario no esta registrado o los datos son incorrectos, aunque son los mismos datos con los que si puedo entrar en el portal web sin problema. Tampoco deja entrar con el ""pin transaccional"" como incorrectamente le responden a un usuario mas abajo. En plena contingencia por emergencia nacional y ustedes no garantizan que sus herramientas en linea funcionen."
245,5.0,1.3.3,2020-04-01T13:51:49Z,1,Una porquería. No acepta la contraseña recién actualizada. La página sí la acepta normal.
246,5.0,1.3.3,2020-04-01T17:07:12Z,1,Está aplicación no funciona en ocasiones por favor actualizar
249,5.0,1.3.3,2020-04-01T22:19:01Z,1,No funciona
252,5.0,1.3.3,2020-04-02T00:38:47Z,1,"Mala, no me permite ingresar dice que los datos no son validos y son los mismos con los que ingreso por la web y me dice que restaure contraseña y lo hago pero igual entro por la web y por la app no lo permite 🤨 Intente pero aun así no me lo permite dice que el numero de documento no corresponde."
253,4.0,1.3.2,2020-04-02T00:40:13Z,3,Reinstale la aplicación y ha estado funcionando bien
254,5.0,1.3.3,2020-04-02T01:01:34Z,1,"Pésimo, por favor pueden resolver esa falla del mensaje del pin que llega mi celular ,para poder acceder gracias, update: si me llegó pero 20 minutos después.. , me parece que debe mejorar la usabilidad y también la calidad del producto... Y no puedo creer la Política de contraseña, considero, que debe mejorarlo , me toca esperar 4 horas....no se prefiero utilizar la versión chorme en mobile gracias"
255,5.0,1.3.3,2020-04-02T02:41:36Z,1,No deja ingresar a la app dice que los datos no coinciden y la e desinstalado varias veces y nada y en la página si puedo
256,5.0,1.3.3,2020-04-02T03:37:28Z,1,Ingreso los mismos datos de transacciones en línea y sale que no son correctos la desinstalo y vuelvo a instalarla y tampoco que mala aplicacion
257,4.0,1.3.2,2020-04-02T05:15:47Z,1,No me deja ver mi saldo ni productos
259,4.0,1.3.2,2020-04-02T15:40:03Z,1,"Estoy intentando acceder a la aplicación, pero me indica que mi correo es inválido, como puedo recuperar el acceso? Me indica la aplicación que por este medio me pueden ayudar. Gracias"
260,4.0,1.3.2,2020-04-02T16:26:56Z,5,Super practica muy facil de usar
262,5.0,1.3.3,2020-04-02T16:34:40Z,1,Pesima aplicacion no sirve para nada siempre dice que en este momento no se puede atender que intente mas tarde y haci es todo el tiempo...... Borren esa cosa coloquen algo bueno
263,4.0,1.3.2,2020-04-02T17:04:39Z,2,"Muy básica, no da valor agregado"
264,4.0,1.3.2,2020-04-02T18:09:55Z,3,Quiero hacer una recarga pero el operador del cual soy parte no existe!
265,4.0,1.3.2,2020-04-02T18:41:51Z,5,Esta bien hecha la APP
266,5.0,1.3.3,2020-04-02T21:03:10Z,1,La primera vez funcionó ahora voy a ingresar me dice que el documento no se encuentra en la base de datos...
268,4.0,1.3.2,2020-04-02T21:13:35Z,5,Muy buena la app
269,5.0,1.3.3,2020-04-02T22:14:41Z,1,Pésima app no deja ingresar siempre sale error 😡
270,5.0,1.3.3,2020-04-02T22:25:49Z,1,Ya desinstalé y volví a instalar la app y sigue el mismo error a pesar de colocar bien datos sigue diciendo que no coincide contraseña con documento. Favor revisar no he podido retirar el subsidio de mi padre porque necesito el código de la App para retirar por un punto TuRed.
273,5.0,1.3.3,2020-04-02T23:15:45Z,1,Entro y pongo el usuario y la clave y no se dirije a ningún lado no funciona
277,7.0,1.3.3,2020-04-03T05:31:59Z,1,Pésima esa app no sirve siempre sale q no se puede q intenté más tarde o q el documento no es q mal servicio
282,7.0,1.3.3,2020-04-03T13:50:30Z,5,👍bueno
283,4.0,1.3.2,2020-04-03T14:00:09Z,1,No puedo crear mí cuenta.... Dice que no puedo crear contraceña le meto la que me dieron y dice ahora que mi cédula no está registrada 😤😠😠
284,7.0,1.3.3,2020-04-03T15:20:16Z,1,Muy mal servicio lo dejan en linea a uno y la linea de atencion mantiene fuera de servicio
286,7.0,1.3.3,2020-04-03T17:10:23Z,5,bien gracias Dios té Bendiga siempre saludos
287,7.0,1.3.3,2020-04-03T17:32:37Z,1,Ahora resulta que ni el Usuario ni la contraseña ni el correo mio existe....
288,5.0,1.3.3,2020-04-03T18:46:53Z,1,Me resulta muy complicado estar instalando y desinstalando la app para qué pueda funcionar no déjà ingresar y dice que el usuario y contraseña no coinciden Tambn deberían poner una opción de transferir el dinero a otras cuentas bancarias ejemplo Bancolombia ya que en mi caso no puedo retirar el dinero si no es en un almacén éxito y còmo yo vivo en un municipio de antioquia donde no hay ése servicio me resulta muy complicado hacer los retiros Gracias
289,5.0,1.3.3,2020-04-03T19:43:45Z,1,"Falta demasiado, ingreso mi contraseña y mi usuario correcto y me dice que es invalido. Lo he verificado mediante web y no me permite ingresar 1 estrella es mucho para esta app"
292,4.0,1.3.2,2020-04-04T00:40:45Z,1,"Fiasco total que haga click aquí para solicitar clave, click para confirmar que clave temporal, que ping y mensaje llega al otro día, ni Año de bancos piden tanta cosa"
294,7.0,1.3.3,2020-04-04T04:46:40Z,1,Mala aplicación complicada de utilizar no funciona
295,7.0,1.3.3,2020-04-04T05:23:19Z,1,La aplicación está mala la anterior me dejaba entrar sin problemas No sirve mala
299,7.0,1.3.3,2020-04-04T16:32:03Z,1,"Recién empiezo a usar esta aplicación y al igual que le sucede a otros usuarios, no dejaba ingresar sabiendo que por el portal web si puedo ingresar. La solución no es desinstalar e instalar nuevamente. En realidad es un error en la app que sólo permite el ingreso de 15 caracteres en la contraseña. Cambié mi contraseña a menos de 15 caracteres y si me dejó ingresar a la app. Ya usándola, va demasiado lenta. Arreglen eso por favor. Gracias"
